Id,关卡Id,行为Id,行为类型,参数1,参数2,参数3,参数4,参数5,说明,对应地图
Id,LevelId,ActionId,ActionType,Param1,Param2,Param3,Param4,Param5,Ext,MapId
65537,1,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),6
65538,1,2,2,100,0,0,0,0,计时器100开始计时(开局行为),6
65539,1,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),6
65540,1,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),6
65541,1,5,10,1,0,0,0,0,开局倒计时信息(开局行为),6
65542,1,6,3,1,0,0,0,0,创建计数器1，计摧毁目标设施数(开局行为),6
65543,1,7,3,2,0,0,0,0,创建计数器2，计目标达成数(开局行为),6
65544,1,8,1,1,0,0,0,0,创建计时器1，用于显示“消灭剩余敌人...”(开局行为),6
65545,1,9,7,0,0,0,0,0,副本开始计时,6
65546,1,10,2,101,0,0,0,0,计时器101开始计时,6
65547,1,11,11,2,0,0,0,0,任务目标：摧毁4个电力设施,6
65548,1,12,0,1,-1,0,0,0,激活第1组出生点,6
65549,1,13,0,2,-1,0,0,0,激活第2组出生点,6
65550,1,14,11,3,0,0,0,0,已摧毁电力设施：{0}/4,6
65551,1,15,4,1,1,0,0,0,计数器1加值,6
65552,1,16,4,2,1,0,0,0,计数器2加值,6
65553,1,17,2,1,0,0,0,0,计时器1开始计时,6
65554,1,18,11,4,0,0,0,0,消灭剩余敌人，进入下一区域,6
65555,1,19,12,0,0,0,0,0,副本停止计时,6
65556,1,20,2,102,0,0,0,0,计时器102开始计时,6
65557,1,21,11,5,0,0,0,0,显示计时器102计时,6
65558,1,22,8,0,0,0,0,0,关卡结束,6
65559,1,23,6,5,0,2,0,0,关卡终点大门,6
65560,1,24,15,0,0,0,0,0,锁定玩家,6
65561,1,25,16,0,0,0,0,0,解冻玩家,6
65562,1,26,0,3,-1,0,0,0,激活第3组出生点,6
65563,1,27,0,4,-1,0,0,0,激活第4组出生点,6
131073,2,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),7
131074,2,2,2,100,0,0,0,0,计时器100开始计时(开局行为),7
131075,2,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),7
131076,2,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),7
131077,2,5,10,1,0,0,0,0,开局倒计时信息(开局行为),7
131078,2,6,3,1,0,0,0,0,创建计数器1，是否清空敌人,7
131079,2,7,1,1,0,0,0,0,隔离室自动门时间间隔,7
131080,2,8,1,2,0,0,0,0,敌人来袭间隔,7
131081,2,9,2,101,0,0,0,0,计时器101开始计时,7
131082,2,10,7,0,0,0,0,0,副本开始计时,7
131083,2,11,11,6,0,0,0,0,任务目标：抵达引擎室,7
131084,2,12,0,1,-1,0,0,0,激活第1组出生点,7
131085,2,13,0,2,-1,0,0,0,激活第2组出生点,7
131086,2,14,0,3,-1,0,0,0,激活第3组出生点,7
131087,2,15,6,1,0,2,0,0,隔离室自动门01,7
131088,2,16,11,7,0,0,0,0,区域已清空，所有玩家进入隔离室！,7
131089,2,17,11,8,0,0,0,0,摧毁引擎控制器,7
131090,2,18,2,1,0,0,0,0,隔离室自动门时间间隔,7
131091,2,19,0,4,-1,0,0,0,激活第4组出生点,7
131092,2,20,6,2,0,2,0,0,隔离室自动门02,7
131093,2,21,11,9,0,0,0,0,防守4波敌人！,7
131094,2,22,2,2,0,0,0,0,敌人来袭间隔,7
131095,2,23,11,10,0,0,0,0,第1波,7
131096,2,24,6,0,1,2,0,0,出生点自动门,7
131097,2,25,0,5,-1,0,0,0,激活第5组出生点,7
131098,2,26,11,11,0,0,0,0,第2波,7
131099,2,27,0,6,-1,0,0,0,激活第6组出生点,7
131100,2,28,11,12,0,0,0,0,第3波,7
131101,2,29,0,7,-1,0,0,0,激活第7组出生点,7
131102,2,30,11,13,0,0,0,0,一大波僵尸正在靠近！,7
131103,2,31,0,8,-1,0,0,0,激活第8组出生点,7
131104,2,32,11,4,0,0,0,0,消灭剩余敌人，进入下一区域,7
131105,2,33,6,4,0,2,0,0,终点大门,7
131106,2,34,2,102,0,0,0,0,计时器102开始计时,7
131107,2,35,11,5,0,0,0,0,显示计时器102计时,7
131108,2,36,12,0,0,0,0,0,副本停止计时,7
131109,2,37,8,0,0,0,0,0,关卡结束,7
131110,2,38,15,0,0,0,0,0,锁定玩家,7
131111,2,39,16,0,0,0,0,0,解冻玩家,7
131112,2,40,0,9,-1,0,0,0,激活第9组出生点,7
131113,2,41,0,10,-1,0,0,0,激活第10组出生点,7
131114,2,42,0,11,-1,0,0,0,激活第11组出生点,7
131115,2,43,0,12,-1,0,0,0,激活第12组出生点,7
131116,2,44,0,13,-1,0,0,0,激活第13组出生点,7
131117,2,45,0,14,-1,0,0,0,激活第14组出生点,7
131118,2,46,0,15,-1,0,0,0,激活第15组出生点,7
131119,2,47,0,16,-1,0,0,0,激活第16组出生点,7
196609,3,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),9
196610,3,2,2,100,0,0,0,0,计时器100开始计时(开局行为),9
196611,3,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),9
196612,3,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),9
196613,3,5,10,1,0,0,0,0,开局倒计时信息(开局行为),9
196614,3,6,1,1,0,0,0,0,创建计时器1，用于显示“消灭六头蛇”(开局行为),9
196615,3,7,7,0,0,0,0,0,副本开始计时,9
196616,3,8,2,101,0,0,0,0,计时器101开始计时,9
196617,3,9,11,14,0,0,0,0,任务目标：消灭六头蛇,9
196618,3,10,6,1,0,2,0,0,船桥大门,9
196619,3,11,0,1,-1,0,0,0,激活第1组出生点,9
196620,3,12,0,2,-1,0,0,0,激活第2组出生点,9
196621,3,13,12,0,0,0,0,0,副本停止计时,9
196622,3,14,2,102,0,0,0,0,计时器102开始计时,9
196623,3,15,11,15,0,0,0,0,显示计时器102计时,9
196624,3,16,14,0,0,0,0,0,副本结束,9
196625,3,17,6,2,0,1,0,0,宝箱,9
196626,3,18,13,1,0,0,0,0,掉落界面,9
196627,3,19,15,0,0,0,0,0,锁定玩家,9
196628,3,20,16,0,0,0,0,0,解冻玩家,9
196629,3,21,0,3,-1,0,0,0,激活第3组出生点,9
262145,4,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),6
262146,4,2,2,100,0,0,0,0,计时器100开始计时(开局行为),6
262147,4,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),6
262148,4,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),6
262149,4,5,10,1,0,0,0,0,开局倒计时信息(开局行为),6
262150,4,6,3,1,0,0,0,0,创建计数器1，计摧毁目标设施数(开局行为),6
262151,4,7,3,2,0,0,0,0,创建计数器2，计目标达成数(开局行为),6
262152,4,8,1,1,0,0,0,0,创建计时器1，用于显示“消灭剩余敌人...”(开局行为),6
262153,4,9,7,0,0,0,0,0,副本开始计时,6
262154,4,10,2,101,0,0,0,0,计时器101开始计时,6
262155,4,11,11,2,0,0,0,0,任务目标：摧毁4个电力设施,6
262156,4,12,0,1,-1,0,0,0,激活第1组出生点,6
262157,4,13,0,2,-1,0,0,0,激活第2组出生点,6
262158,4,14,11,3,0,0,0,0,已摧毁电力设施：{0}/4,6
262159,4,15,4,1,1,0,0,0,计数器1加值,6
262160,4,16,4,2,1,0,0,0,计数器2加值,6
262161,4,17,2,1,0,0,0,0,计时器1开始计时,6
262162,4,18,11,4,0,0,0,0,消灭剩余敌人，进入下一区域,6
262163,4,19,12,0,0,0,0,0,副本停止计时,6
262164,4,20,2,102,0,0,0,0,计时器102开始计时,6
262165,4,21,11,5,0,0,0,0,显示计时器102计时,6
262166,4,22,8,0,0,0,0,0,关卡结束,6
262167,4,23,6,5,0,2,0,0,关卡终点大门,6
262168,4,24,15,0,0,0,0,0,锁定玩家,6
262169,4,25,16,0,0,0,0,0,解冻玩家,6
262170,4,26,0,3,-1,0,0,0,激活第3组出生点,6
262171,4,27,0,4,-1,0,0,0,激活第4组出生点,6
327681,5,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),7
327682,5,2,2,100,0,0,0,0,计时器100开始计时(开局行为),7
327683,5,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),7
327684,5,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),7
327685,5,5,10,1,0,0,0,0,开局倒计时信息(开局行为),7
327686,5,6,3,1,0,0,0,0,创建计数器1，是否清空敌人,7
327687,5,7,1,1,0,0,0,0,隔离室自动门时间间隔,7
327688,5,8,1,2,0,0,0,0,敌人来袭间隔,7
327689,5,9,2,101,0,0,0,0,计时器101开始计时,7
327690,5,10,7,0,0,0,0,0,副本开始计时,7
327691,5,11,11,6,0,0,0,0,任务目标：抵达引擎室,7
327692,5,12,0,1,-1,0,0,0,激活第1组出生点,7
327693,5,13,0,2,-1,0,0,0,激活第2组出生点,7
327694,5,14,0,3,-1,0,0,0,激活第3组出生点,7
327695,5,15,6,1,0,2,0,0,隔离室自动门01,7
327696,5,16,11,7,0,0,0,0,区域已清空，所有玩家进入隔离室！,7
327697,5,17,11,8,0,0,0,0,摧毁引擎控制器,7
327698,5,18,2,1,0,0,0,0,隔离室自动门时间间隔,7
327699,5,19,0,4,-1,0,0,0,激活第4组出生点,7
327700,5,20,6,2,0,2,0,0,隔离室自动门02,7
327701,5,21,11,9,0,0,0,0,防守4波敌人！,7
327702,5,22,2,2,0,0,0,0,敌人来袭间隔,7
327703,5,23,11,10,0,0,0,0,第1波,7
327704,5,24,6,0,1,2,0,0,出生点自动门,7
327705,5,25,0,5,-1,0,0,0,激活第5组出生点,7
327706,5,26,11,11,0,0,0,0,第2波,7
327707,5,27,0,6,-1,0,0,0,激活第6组出生点,7
327708,5,28,11,12,0,0,0,0,第3波,7
327709,5,29,0,7,-1,0,0,0,激活第7组出生点,7
327710,5,30,11,13,0,0,0,0,一大波僵尸正在靠近！,7
327711,5,31,0,8,-1,0,0,0,激活第8组出生点,7
327712,5,32,11,4,0,0,0,0,消灭剩余敌人，进入下一区域,7
327713,5,33,6,4,0,2,0,0,终点大门,7
327714,5,34,2,102,0,0,0,0,计时器102开始计时,7
327715,5,35,11,5,0,0,0,0,显示计时器102计时,7
327716,5,36,12,0,0,0,0,0,副本停止计时,7
327717,5,37,8,0,0,0,0,0,关卡结束,7
327718,5,38,15,0,0,0,0,0,锁定玩家,7
327719,5,39,16,0,0,0,0,0,解冻玩家,7
327720,5,40,0,9,-1,0,0,0,激活第9组出生点,7
327721,5,41,0,10,-1,0,0,0,激活第10组出生点,7
327722,5,42,0,11,-1,0,0,0,激活第11组出生点,7
327723,5,43,0,12,-1,0,0,0,激活第12组出生点,7
327724,5,44,0,13,-1,0,0,0,激活第13组出生点,7
327725,5,45,0,14,-1,0,0,0,激活第14组出生点,7
327726,5,46,0,15,-1,0,0,0,激活第15组出生点,7
327727,5,47,0,16,-1,0,0,0,激活第16组出生点,7
393217,6,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),9
393218,6,2,2,100,0,0,0,0,计时器100开始计时(开局行为),9
393219,6,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),9
393220,6,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),9
393221,6,5,10,1,0,0,0,0,开局倒计时信息(开局行为),9
393222,6,6,1,1,0,0,0,0,创建计时器1，用于显示“消灭六头蛇”(开局行为),9
393223,6,7,7,0,0,0,0,0,副本开始计时,9
393224,6,8,2,101,0,0,0,0,计时器101开始计时,9
393225,6,9,11,14,0,0,0,0,任务目标：消灭六头蛇,9
393226,6,10,6,1,0,2,0,0,船桥大门,9
393227,6,11,0,1,-1,0,0,0,激活第1组出生点,9
393228,6,12,0,2,-1,0,0,0,激活第2组出生点,9
393229,6,13,12,0,0,0,0,0,副本停止计时,9
393230,6,14,2,102,0,0,0,0,计时器102开始计时,9
393231,6,15,11,15,0,0,0,0,显示计时器102计时,9
393232,6,16,14,0,0,0,0,0,副本结束,9
393233,6,17,6,2,0,1,0,0,宝箱,9
393234,6,18,13,1,0,0,0,0,掉落界面,9
393235,6,19,15,0,0,0,0,0,锁定玩家,9
393236,6,20,16,0,0,0,0,0,解冻玩家,9
393237,6,21,0,3,-1,0,0,0,激活第3组出生点,9
458753,7,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),6
458754,7,2,2,100,0,0,0,0,计时器100开始计时(开局行为),6
458755,7,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),6
458756,7,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),6
458757,7,5,10,1,0,0,0,0,开局倒计时信息(开局行为),6
458758,7,6,3,1,0,0,0,0,创建计数器1，计摧毁目标设施数(开局行为),6
458759,7,7,3,2,0,0,0,0,创建计数器2，计目标达成数(开局行为),6
458760,7,8,1,1,0,0,0,0,创建计时器1，用于显示“消灭剩余敌人...”(开局行为),6
458761,7,9,7,0,0,0,0,0,副本开始计时,6
458762,7,10,2,101,0,0,0,0,计时器101开始计时,6
458763,7,11,11,2,0,0,0,0,任务目标：摧毁4个电力设施,6
458764,7,12,0,1,-1,0,0,0,激活第1组出生点,6
458765,7,13,0,2,-1,0,0,0,激活第2组出生点,6
458766,7,14,11,3,0,0,0,0,已摧毁电力设施：{0}/4,6
458767,7,15,4,1,1,0,0,0,计数器1加值,6
458768,7,16,4,2,1,0,0,0,计数器2加值,6
458769,7,17,2,1,0,0,0,0,计时器1开始计时,6
458770,7,18,11,4,0,0,0,0,消灭剩余敌人，进入下一区域,6
458771,7,19,12,0,0,0,0,0,副本停止计时,6
458772,7,20,2,102,0,0,0,0,计时器102开始计时,6
458773,7,21,11,5,0,0,0,0,显示计时器102计时,6
458774,7,22,8,0,0,0,0,0,关卡结束,6
458775,7,23,6,5,0,2,0,0,关卡终点大门,6
458776,7,24,15,0,0,0,0,0,锁定玩家,6
458777,7,25,16,0,0,0,0,0,解冻玩家,6
458778,7,26,0,3,-1,0,0,0,激活第3组出生点,6
458779,7,27,0,4,-1,0,0,0,激活第4组出生点,6
524289,8,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),7
524290,8,2,2,100,0,0,0,0,计时器100开始计时(开局行为),7
524291,8,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),7
524292,8,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),7
524293,8,5,10,1,0,0,0,0,开局倒计时信息(开局行为),7
524294,8,6,3,1,0,0,0,0,创建计数器1，是否清空敌人,7
524295,8,7,1,1,0,0,0,0,隔离室自动门时间间隔,7
524296,8,8,1,2,0,0,0,0,敌人来袭间隔,7
524297,8,9,2,101,0,0,0,0,计时器101开始计时,7
524298,8,10,7,0,0,0,0,0,副本开始计时,7
524299,8,11,11,6,0,0,0,0,任务目标：抵达引擎室,7
524300,8,12,0,1,-1,0,0,0,激活第1组出生点,7
524301,8,13,0,2,-1,0,0,0,激活第2组出生点,7
524302,8,14,0,3,-1,0,0,0,激活第3组出生点,7
524303,8,15,6,1,0,2,0,0,隔离室自动门01,7
524304,8,16,11,7,0,0,0,0,区域已清空，所有玩家进入隔离室！,7
524305,8,17,11,8,0,0,0,0,摧毁引擎控制器,7
524306,8,18,2,1,0,0,0,0,隔离室自动门时间间隔,7
524307,8,19,0,4,-1,0,0,0,激活第4组出生点,7
524308,8,20,6,2,0,2,0,0,隔离室自动门02,7
524309,8,21,11,9,0,0,0,0,防守4波敌人！,7
524310,8,22,2,2,0,0,0,0,敌人来袭间隔,7
524311,8,23,11,10,0,0,0,0,第1波,7
524312,8,24,6,0,1,2,0,0,出生点自动门,7
524313,8,25,0,5,-1,0,0,0,激活第5组出生点,7
524314,8,26,11,11,0,0,0,0,第2波,7
524315,8,27,0,6,-1,0,0,0,激活第6组出生点,7
524316,8,28,11,12,0,0,0,0,第3波,7
524317,8,29,0,7,-1,0,0,0,激活第7组出生点,7
524318,8,30,11,13,0,0,0,0,一大波僵尸正在靠近！,7
524319,8,31,0,8,-1,0,0,0,激活第8组出生点,7
524320,8,32,11,4,0,0,0,0,消灭剩余敌人，进入下一区域,7
524321,8,33,6,4,0,2,0,0,终点大门,7
524322,8,34,2,102,0,0,0,0,计时器102开始计时,7
524323,8,35,11,5,0,0,0,0,显示计时器102计时,7
524324,8,36,12,0,0,0,0,0,副本停止计时,7
524325,8,37,8,0,0,0,0,0,关卡结束,7
524326,8,38,15,0,0,0,0,0,锁定玩家,7
524327,8,39,16,0,0,0,0,0,解冻玩家,7
524328,8,40,0,9,-1,0,0,0,激活第9组出生点,7
524329,8,41,0,10,-1,0,0,0,激活第10组出生点,7
524330,8,42,0,11,-1,0,0,0,激活第11组出生点,7
524331,8,43,0,12,-1,0,0,0,激活第12组出生点,7
524332,8,44,0,13,-1,0,0,0,激活第13组出生点,7
524333,8,45,0,14,-1,0,0,0,激活第14组出生点,7
524334,8,46,0,15,-1,0,0,0,激活第15组出生点,7
524335,8,47,0,16,-1,0,0,0,激活第16组出生点,7
589825,9,1,1,100,0,0,0,0,创建计时器100，开局倒计时(开局行为),9
589826,9,2,2,100,0,0,0,0,计时器100开始计时(开局行为),9
589827,9,3,1,101,0,0,0,0,创建计时器101，用于开局显示目标文字(开局行为),9
589828,9,4,1,102,0,0,0,0,创建计时器102，用于关卡结束倒计时(开局行为),9
589829,9,5,10,1,0,0,0,0,开局倒计时信息(开局行为),9
589830,9,6,1,1,0,0,0,0,创建计时器1，用于显示“消灭六头蛇”(开局行为),9
589831,9,7,7,0,0,0,0,0,副本开始计时,9
589832,9,8,2,101,0,0,0,0,计时器101开始计时,9
589833,9,9,11,14,0,0,0,0,任务目标：消灭六头蛇,9
589834,9,10,6,1,0,2,0,0,船桥大门,9
589835,9,11,0,1,-1,0,0,0,激活第1组出生点,9
589836,9,12,0,2,-1,0,0,0,激活第2组出生点,9
589837,9,13,12,0,0,0,0,0,副本停止计时,9
589838,9,14,2,102,0,0,0,0,计时器102开始计时,9
589839,9,15,11,15,0,0,0,0,显示计时器102计时,9
589840,9,16,14,0,0,0,0,0,副本结束,9
589841,9,17,6,2,0,1,0,0,宝箱,9
589842,9,18,13,1,0,0,0,0,掉落界面,9
589843,9,19,15,0,0,0,0,0,锁定玩家,9
